Acrònim,Partit,Vots,Percentatge,color,image
JxCat,Junts per Catalunya,2274,34.60%,#EA3349,https://image.ibb.co/cUp9ed/JxCat.jpg
CUP,Candidatura d'Unitat Popular,210,3.19%,#FEF22B,https://image.ibb.co/gtJfkJ/CUP.png
C's,Ciutadans,680,10.35%,#E74715,https://image.ibb.co/gGbcXy/Cs.png
ERC,Esquerra Republicana de Catalunya,2329,35.43%,#FBBA45,https://image.ibb.co/gKkRQJ/ERC.png
PSC,Partit Socialista de Catalunya,434,6.60%,#CC3B27,https://image.ibb.co/i3vRQJ/PSC.png
CeCP,Catalunya en Comú Podem,212,3.23%,#97336F,https://image.ibb.co/mVPWsy/CECP.png
PP,Partit Popular,316,4.81%,#3593C1,https://image.ibb.co/mOmBsy/PP.jpg
Altres,Altres,24,0.37%,lightgrey,https://image.ibb.co/h7AKed/Altres.png
Nuls,Nuls,47,0.72%,#d6d4d4,https://image.ibb.co/f2AKed/Nuls.png
Blanc,Blanc,47,0.72%,#d4d4d4,https://image.ibb.co/hhhXzd/Blanc.png
