Acrònim,Partit,Vots,Percentatge,color,image
JxSí,Junts Pel Sí,3734,61.98%,#50AD97,https://preview.ibb.co/khgNzd/JxS.png
CUP,Candidatura d'Unitat Popular,367,6.09%,#FEF22B,https://image.ibb.co/gtJfkJ/CUP.png
PSC,Partit Socialista de Catalunya,592,9.83%,#CC3B27,https://image.ibb.co/i3vRQJ/PSC.png
PP,Partit Popular,501,8.32%,#3593C1,https://image.ibb.co/mOmBsy/PP.jpg
C's,Ciutadans,253,4.20%,#E74715,https://image.ibb.co/gGbcXy/Cs.png
CSQEP,Catalunya Sí Que Es Pot,235,3.90%,#97336F,https://image.ibb.co/mnGY5J/CSQEP.jpg
Unió,Unió,124,2.06%,#1F3A74,https://image.ibb.co/kOa4Cy/Uni.png
Altres,Altres,31,0.51%,lightgrey,https://image.ibb.co/h7AKed/Altres.png
Nuls,Nuls,83,1.38%,#d6d4d4,https://image.ibb.co/f2AKed/Nuls.png
Blanc,Blanc,105,1.74%,#d6d6d6,https://image.ibb.co/hhhXzd/Blanc.png
