Concepte,Recompte,Any,Color
Llicències obres majors,181,2017,#0F354B
Llicències obres menors,870,2017,#0F354B
Llicències activitats i establiments,191,2017,#0F354B
P.L.U.,16,2017,#0F354B
"Exp. Neteja solars, tancament solars i edificis",273,2017,#0F354B
Exp. Pernoctació,77,2017,#0F354B
Altres ord. Policia i bon govern,36,2017,#0F354B
Sector primari,2,2017,#0F354B
Llicències obres majors,56,2018,#E9A031
Llicències obres menors,222,2018,#E9A031
Llicències activitats i establiments,44,2018,#E9A031
P.L.U.,8,2018,#E9A031
"Exp. Neteja solars, tancament solars i edificis",320,2018,#E9A031
Exp. Pernoctació,25,2018,#E9A031
Altres ord. Policia i bon govern,6,2018,#E9A031
Sector primari,8,2018,#E9A031
