Acrònim,Universitat,Valor,Procedència,Color,Percentatge
UCO,Universidad de Córdoba,4293746,Administració General de l'Estat,#6EAADD,3.19%
UdG,Universitat de Girona,1391778,Administració General de l'Estat,#6EAADD,1.39%
UdL,Universitat de Lleida,1888815.76,Administració General de l'Estat,#6EAADD,2.24%
UAH,Universidad de Alcalá de Henares,6170048.4,Administració General de l'Estat,#6EAADD,4.33%
UIB,Universitat de les Illes Balears,3805925.01,Administració General de l'Estat,#6EAADD,4.30%
UJI,Universitat Jaume I,0,Administració General de l'Estat,#6EAADD,0%
URV,Universitat Rovira i Virgili,2220142.16,Administració General de l'Estat,#6EAADD,2.06%
UVi,Universidad de Vigo,5646128.24,Administració General de l'Estat,#6EAADD,3.73%
UCO,Universidad de Córdoba,1840458,Unió Europea,#445BA6,1.36%
UdG,Universitat de Girona,2637300,Unió Europea,#445BA6,2.63%
UdL,Universitat de Lleida,1431075.6,Unió Europea,#445BA6,1.70%
UAH,Universidad de Alcalá de Henares,1893818.19,Unió Europea,#445BA6,1.33%
UIB,Universitat de les Illes Balears,2383328.09,Unió Europea,#445BA6,2.69%
UJI,Universitat Jaume I,7828228.96,Unió Europea,#445BA6,7.06%
URV,Universitat Rovira i Virgili,2064516.79,Unió Europea,#445BA6,1.92%
UVi,Universidad de Vigo,5263727.34,Unió Europea,#445BA6,3.48%
