Nacionalitat,Total
ALEMANIA,87
ARGELIA,52
ARGENTINA,15
AUSTRIA,2
BELARUS,10
BELGICA,11
BOLIVIA,4
BRASIL,12
CHILE,1
CHINA,29
COLOMBIA,16
COSTA DE MARFIL,1
COSTA RICA,2
CROACIA,2
CUBA,7
ECUADOR,13
FILIPINAS,1
FRANCIA,32
GAMBIA,2
GEORGIA,2
HONDURAS,9
HUNGRIA,1
INDIA,4
ITALIA,18
LETONIA,2
LITUANIA,35
LUXEMBURGO,1
MALI,10
MARRUECOS,249
MÉXICO,1
MOLDAVIA,7
PAISES BAJOS,12
PAKISTAN,88
PARAGUAY,12
PERU,7
POLONIA,13
PORTUGAL,42
REINO UNIDO,9
REPUBLICA CHECA,14
REPUBLICA DOMINICANA,9
REPUBLICA ESLOVACA,10
RUMANIA,552
RUSIA,23
SENEGAL,14
SIRIA,1
SUIZA,17
TUNEZ,1
UCRANIA,32
URUGUAY,3
UZBEKISTAN,1
VENEZUELA,7
,
,
,
