Acrònim,Universitat,Valor,Tipus,Color
UCO,Universidad de Córdoba,0.787138888,Taxa de rendiment,#BE3D31
UAH,Universidad de Alcalá de Henares,0.811075611,Taxa de rendiment,#BE3D31
URV,Universitat Rovira i Virgili,0.826337278,Taxa de rendiment,#BE3D31
UJI,Universitat Jaume I,0.784094209,Taxa de rendiment,#BE3D31
UdG,Universitat de Girona,0.84184394,Taxa de rendiment,#BE3D31
UdL,Universitat de Lleida,0.838156623,Taxa de rendiment,#BE3D31
UVIGO,Universidad de Vigo,0.725067615,Taxa de rendiment,#BE3D31
UIB,Universitat de les Illes Balears,0.764234071,Taxa de rendiment,#BE3D31
UCO,Universidad de Córdoba,0.859924061,Taxa d'èxit,#EE8B3C
UAH,Universidad de Alcalá de Henares,0.883052289,Taxa d'èxit,#EE8B3C
URV,Universitat Rovira i Virgili,0.8934779,Taxa d'èxit,#EE8B3C
UJI,Universitat Jaume I,0.872177301,Taxa d'èxit,#EE8B3C
UdG,Universitat de Girona,0.851487922,Taxa d'èxit,#EE8B3C
UdL,Universitat de Lleida,0.891598747,Taxa d'èxit,#EE8B3C
UVIGO,Universidad de Vigo,0.834503577,Taxa d'èxit,#EE8B3C
UIB,Universitat de les Illes Balears,0.849710145,Taxa d'èxit,#EE8B3C
