Recompte,Edats,Gènere,Color
533,0 - 9,Dones,#CF494A
525,10 - 19,Dones,#CF494A
565,20 - 29,Dones,#CF494A
915,30 - 39,Dones,#CF494A
860,40 - 49,Dones,#CF494A
787,50 - 59,Dones,#CF494A
708,60 - 69,Dones,#CF494A
524,70 - 79,Dones,#CF494A
427,80 - 89,Dones,#CF494A
75,90 - 99,Dones,#CF494A
3,100 - 109,Dones,#CF494A
573,0 - 9,Homes,#335271
639,10 - 19,Homes,#335271
597,20 - 29,Homes,#335271
989,30 - 39,Homes,#335271
980,40 - 49,Homes,#335271
830,50 - 59,Homes,#335271
630,60 - 69,Homes,#335271
494,70 - 79,Homes,#335271
302,80 - 89,Homes,#335271
49,90 - 99,Homes,#335271
1,100 - 109,Homes,#335271
